baseid	url	file_name	acl	state	version	storageclass	deletereason	release	project_id	type	id	md5	size
e112ff45-13d7-4818-9134-9682b5f5d7d7	s3://s3-external-1.amazonaws.com/gdcbackup/d219e806-4d47-4b7b-b0b0-d2798118a934	TCGA-63-A5MJ-01Z-00-DX1.4F060025-3A21-4FEB-8A63-F55A95BFBA30.svs	[u'open']	released	1	GLACIER		12.0	TCGA-LUSC	active	17600ed5-8c94-4a71-b027-b0fc86715c1f	6cfb7f145dba45540e2b39ab0974cd9b	95271782
5d65b4b5-73cc-40aa-8fb5-d9c6124a9def	s3://s3-external-1.amazonaws.com/gdcbackup/6e2431d0-fc2b-4ab2-b5a9-422de627529c	TCGA-AD-6548-01Z-00-DX1.4e047481-8926-48e6-9eba-46597c4cc396.svs	[u'open']	released	1	GLACIER		12.0	TCGA-COAD	active	8b605b0f-3c0c-4c10-8341-40a0da51abeb	8d742d9eab94ab7076bd7623d588aafc	95284133
ea1dc935-294d-48b8-9d94-cfcb693b3105	s3://s3-external-1.amazonaws.com/gdcbackup/44b4c3e0-5fc2-4629-8e97-384f0da950a5	TCGA-DU-A76O-01Z-00-DX1.79424261-499C-4D61-9C74-3A35E1557501.svs	[u'open']	released	1	GLACIER		12.0	TCGA-LGG	active	7729fff7-a3ce-4ce0-b7be-8dab831c960a	ea0a67682dc240778cef9c1ec6fec3ef	95409099
f8e7af3a-df2e-490f-a121-7770deb98e9e	s3://s3-external-1.amazonaws.com/gdcbackup/994a8ee2-5cd0-42e5-941a-db0f6d87fa36	TCGA-MB-A5YA-01Z-00-DX1.96B9BF18-C17A-4E75-BAA8-C13F9F63CE0B.svs	[u'open']	released	1	GLACIER		12.0	TCGA-SARC	active	cfe8e46d-d6e3-42de-b300-2711ac9a7406	bf1f69ccca49ebeb474f9ef7e76e6fb7	95507354
fbef43d3-b38a-42c5-8550-616a63a4c64d	s3://s3-external-1.amazonaws.com/gdcbackup/87e7ee96-b015-4462-8d10-a2010879a255	TCGA-06-0749-01Z-00-DX1.5831460f-c2ad-46cf-8dd4-d99dbfd0760c.svs	[u'open']	released	1	GLACIER		12.0	TCGA-GBM	active	8cfd1ad5-852b-458e-a05a-de2c24ea5b15	3bb39b06b3fdbc6a02c86fcbb1e1b0d4	95879375
eb5b91cd-0489-49b0-9305-a00c82d12520	s3://s3-external-1.amazonaws.com/gdcbackup/ca0fa18a-2bfe-46ad-ac8f-f9995d364c04	TCGA-EM-A3AQ-01Z-00-DX1.3B5348E7-FD6B-49A9-B211-E3934E0BDC92.svs	[u'open']	released	1	GLACIER		12.0	TCGA-THCA	active	a21f6e4f-bbed-40f6-bb56-d0bd455eff29	bf61d033999b24807e169a504de8fa57	95884708
5a845bf9-7172-4dc0-9794-f77015d7a45d	s3://s3-external-1.amazonaws.com/gdcbackup/52a6331c-7739-4f01-af77-81a12948c304	TCGA-VQ-AA6K-01Z-00-DX1.8AF14797-0C31-4DF3-94A4-868EC96E7BB1.svs	[u'open']	released	1	GLACIER		12.0	TCGA-STAD	active	c09810f3-d4d9-4e2f-a87f-1604d848edfc	01a41cdedd07f4516211f09b15bff53b	96007213
56a5535e-4158-4573-b671-9b6f37ec5c96	s3://s3-external-1.amazonaws.com/gdcbackup/bf6cef6d-d48b-43ae-9d89-bcf165452cfb	TCGA-12-1092-01Z-00-DX2.AEDBBC67-DA91-4872-90D7-8304C8A25D91.svs	[u'open']	released	1	GLACIER		12.0	TCGA-GBM	active	5057ffd9-f33f-470d-a832-47188b811961	cf2b01e7d01f6c88ff54d8bd962c61cc	96122284
a5a14329-9713-4959-81a1-22f8fd56a873	s3://s3-external-1.amazonaws.com/gdcbackup/d8adf80a-957e-4cf6-945b-dff80bfddd2d	TCGA-DU-5847-01Z-00-DX1.b7d7de58-38b6-4686-8588-a2542c8595b4.svs	[u'open']	released	1	GLACIER		12.0	TCGA-LGG	active	faa7997c-1979-46ab-9450-92dc62870a24	d820ec86d6d3f2f6fae91f967107db78	96278279
a6b8dbfb-68db-459b-a256-77b4e049de3d	s3://s3-external-1.amazonaws.com/gdcbackup/ee54808f-7218-405f-9882-04ab2338d17c	TCGA-DU-7010-01Z-00-DX1.542F36CC-9685-4780-94EB-B664CECFF09D.svs	[u'open']	released	1	GLACIER		12.0	TCGA-LGG	active	9e2a7cce-5e56-4743-8aea-d4702495238f	c12af13735c0d959d24eb3100cf78c90	96684906
